Mouse,Date,TDA Score
CB279,121621,0.7333333333333333
CB279,121421,0.66875
CB279,122021,0.85
CB278,121521,0.8166666666666667
CB278,121721,0.8305555555555555
CB278,121921,0.8916666666666666
CB295,040222,0.8583333333333332
CB295,040622,0.7166666666666667
CB295,033022,0.6624999999999999
CB293,040222,0.7416666666666667
CB293,040422,0.6
CB293,040622,0.5833333333333333
CB300,060922,0.776923076923077
CB300,061722,0.6000000000000001
CB300,062022,0.5444444444444444
CB301,070322,0.575
CB301,062422,0.74375
CB301,062722,0.4888888888888888
CB311,081022,0.711111111111111
CB311,081222,0.8388888888888889
CB311,081522,0.75
CB312,081022,0.5583333333333332
CB312,081522,0.6027777777777777
CB312,081222,0.8555555555555555
CB313,081222,0.49722222222222223
CB313,081522,0.7388888888888887
CB313,081722,0.5277777777777778
CB280,121721,0.6136363636363638
CB280,121521,0.9888888888888889
CB316,100422,0.7
CB321,113022,0.6277777777777777
CB289,040422,0.9363636363636365
CB305,062422,0.7305555555555555
CB303,061722,0.7305555555555557
CB303,062022,0.7111111111111111
CB303,061522,0.9055555555555553
CB317,110822,0.7277777777777777
CB317,111022,0.7416666666666669
