Mouse,Date,SVM Score,SVM std,Counts
CB279,121621,0.6814814814814815,0.07348695194376433,"{0: 30, 1: 30, 2: 30}"
CB279,121421,0.8000000000000002,0.09267941348654796,"{0: 23, 1: 29, 2: 30}"
CB279,122021,0.5833333333333333,0.09452181213593341,"{0: 30, 1: 29, 2: 30}"
CB278,121521,0.7875,0.08854327913908402,"{0: 29, 1: 20, 2: 28}"
CB278,121721,0.762962962962963,0.06403738710152722,"{0: 29, 1: 30, 2: 29}"
CB278,121921,0.7461538461538462,0.08029065853136069,"{0: 28, 1: 30, 2: 28}"
CB295,040222,0.6722222222222223,0.10180310724420154,"{0: 20, 1: 20, 2: 20}"
CB295,040622,0.4027777777777778,0.0862077367707928,"{0: 19, 1: 19, 2: 20}"
CB295,033022,0.538888888888889,0.0808097421413487,"{0: 20, 1: 20, 2: 20}"
CB293,040222,0.48529411764705876,0.08719719569973786,"{0: 17, 1: 20, 2: 18}"
CB293,040422,0.45588235294117646,0.10774927898015389,"{0: 16, 1: 19, 2: 19}"
CB293,040622,0.5527777777777777,0.0944788379067806,"{0: 19, 1: 20, 2: 20}"
CB300,060922,0.568421052631579,0.07559840489048505,"{0: 17, 1: 25, 2: 19}"
CB300,061722,0.4977272727272727,0.11468416451392334,"{0: 19, 1: 23, 2: 30}"
CB300,062022,0.39074074074074067,0.10576822732779495,"{0: 30, 1: 30, 2: 28}"
CB301,070322,0.4999999999999999,0.09515159215694183,"{0: 27, 1: 24, 2: 25}"
CB301,062422,0.5791666666666665,0.11221129296557388,"{0: 28, 1: 23, 2: 26}"
CB301,062722,0.35961538461538467,0.06751702554697357,"{0: 30, 1: 29, 2: 27}"
CB311,081022,0.587037037037037,0.07625919346147329,"{0: 30, 1: 30, 2: 30}"
CB311,081222,0.5870370370370372,0.08852671506090354,"{0: 30, 1: 30, 2: 30}"
CB311,081522,0.6370370370370371,0.08290446280552079,"{0: 30, 1: 30, 2: 30}"
CB312,081022,0.7296296296296296,0.06255457511837612,"{0: 30, 1: 30, 2: 29}"
CB312,081522,0.7425925925925926,0.05944779948387964,"{0: 30, 1: 30, 2: 30}"
CB312,081222,0.861111111111111,0.06784213861713392,"{0: 28, 1: 30, 2: 30}"
CB313,081222,0.4,0.06537629260430279,"{0: 30, 1: 30, 2: 30}"
CB313,081522,0.5592592592592593,0.08488377900517512,"{0: 30, 1: 30, 2: 30}"
CB313,081722,0.5574074074074074,0.05696712253854215,"{0: 30, 1: 30, 2: 30}"
CB280,121721,0.4352941176470588,0.0980598533489989,"{0: 17, 1: 19, 2: 20}"
CB280,121521,0.826923076923077,0.07222495050571365,"{0: 29, 1: 30, 2: 25}"
CB316,100422,0.5203703703703704,0.0895000109908763,"{0: 30, 1: 30, 2: 30}"
CB321,113022,0.475925925925926,0.0877073849393383,"{0: 30, 1: 30, 2: 30}"
CB289,040422,0.5205882352941176,0.11335032956997651,"{0: 17, 1: 19, 2: 20}"
CB305,062422,0.6444444444444444,0.06625386599999376,"{0: 30, 1: 29, 2: 30}"
CB303,061722,0.6203703703703705,0.10604091415437235,"{0: 29, 1: 30, 2: 30}"
CB303,062022,0.5648148148148147,0.06993814113415298,"{0: 30, 1: 30, 2: 30}"
CB303,061522,0.7685185185185185,0.07775921063075318,"{0: 29, 1: 29, 2: 30}"
CB317,110822,0.6407407407407407,0.07979831627328977,"{0: 30, 1: 30, 2: 29}"
CB317,111022,0.6111111111111112,0.07552191277898837,"{0: 30, 1: 30, 2: 30}"
