Mouse,Date,TDA Score
CB279,121621,0.5111111111111112
CB279,121421,0.4760000000000001
CB279,122021,0.6037037037037039
CB278,121521,0.4583333333333333
CB278,121721,0.4777777777777777
CB278,121921,0.5596153846153846
CB295,040222,0.6083333333333333
CB295,040622,0.4416666666666667
CB295,033022,0.45
CB293,040222,0.4794117647058823
CB293,040422,0.4235294117647059
CB293,040622,0.43055555555555564
CB300,060922,0.4552631578947368
CB300,061722,0.42727272727272725
CB300,062022,0.33333333333333337
CB301,070322,0.3347826086956522
CB301,062422,0.5333333333333333
CB301,062722,0.29230769230769227
CB311,081022,0.42592592592592593
CB311,081222,0.5685185185185185
CB311,081522,0.537037037037037
CB312,081022,0.3574074074074074
CB312,081522,0.42222222222222217
CB312,081222,0.5999999999999999
CB313,081222,0.30185185185185176
CB313,081522,0.5074074074074073
CB313,081722,0.3629629629629629
CB280,121721,0.4147058823529412
CB280,121521,0.8923076923076921
CB316,100422,0.5203703703703704
CB321,113022,0.387037037037037
CB289,040422,0.6705882352941177
CB305,062422,0.45185185185185184
CB303,061722,0.3462962962962962
CB303,062022,0.4518518518518517
CB303,061522,0.624074074074074
CB317,110822,0.5703703703703704
CB317,111022,0.5555555555555554
